#,,Q afluente invernada,Pp 2850,Pp 2550,Pp 2250,Pp 1950,Pp 1548,T 2850,T 2550,T 2250,T 1950,T 1548
1990,12,36.5,0.00,0.00,0.00,0.00,0.00,9.56,10.61,11.67,12.72,14.13
1991,1,25.7,10.40,10.60,10.70,10.80,10.90,11.40,12.33,13.26,14.18,15.42
1991,2,21.8,0.00,0.00,0.00,0.00,0.00,13.34,14.06,14.78,15.50,16.46
1991,3,19.1,0.00,0.00,0.00,0.00,0.00,10.94,11.65,12.36,13.06,14.01
1991,4,19,144.40,145.00,145.60,146.20,147.00,7.32,8.21,9.09,9.98,11.17
1991,5,43.2,1050.70,1055.00,1059.20,1063.50,1069.20,2.07,3.31,4.54,5.78,7.44
1991,6,38.8,421.80,423.50,425.30,427.00,429.30,-1.74,-0.49,0.77,2.02,3.71
1991,7,33.1,536.50,538.70,540.90,543.00,546.00,-3.04,-1.86,-0.68,0.50,2.08
1991,8,27.3,81.80,82.20,82.50,82.80,83.30,-1.74,-0.63,0.47,1.58,3.07
1991,9,29.9,164.40,165.00,165.70,166.40,167.30,-0.19,1.22,2.62,4.03,5.92
1991,10,34.6,183.70,184.50,185.20,186.00,187.00,3.27,4.43,5.60,6.76,8.33
1991,11,59.6,53.20,53.50,53.70,53.90,54.20,5.34,6.68,8.02,9.36,11.16
1991,12,63.4,202.70,203.50,204.30,205.20,206.30,8.47,9.40,10.33,11.26,12.52
1992,1,61.3,3.10,3.10,3.10,3.10,3.10,12.13,13.11,14.10,15.08,16.41
1992,2,42.1,7.70,7.70,7.80,7.80,7.80,12.83,13.53,14.22,14.91,15.84
1992,3,32.9,59.70,59.90,60.20,60.40,60.70,11.72,12.48,13.24,14.00,15.01
1992,4,27.5,275.30,276.60,277.90,279.20,280.90,6.53,7.32,8.10,8.89,9.95
1992,5,30.8,910.60,914.90,919.20,923.50,929.30,1.68,2.68,3.68,4.68,6.02
1992,6,30.3,728.30,731.80,735.20,738.60,743.30,-1.38,-0.39,0.61,1.61,2.95
1992,7,26.5,152.50,153.20,153.90,154.60,155.60,-2.60,-1.59,-0.58,0.43,1.78
1992,8,24.2,191.00,191.90,192.80,193.70,194.90,-1.93,-0.70,0.53,1.75,3.40
1992,9,27.9,158.80,159.50,160.30,161.00,162.00,-0.19,1.19,2.57,3.96,5.81
1992,10,40.9,49.10,49.30,49.60,49.80,50.10,3.13,4.25,5.37,6.49,7.99
