Date,CCCMA1,CCCMA2,GFDL1,GFDL2,GISS1,GISS2,MPI1,MPI2,MRI1,MRI2,NIES1,NIES2,UKMO1,UKMO2
2030-06-01,293.5997273,199.0496835,242.852987,178.5968679,153.6035634,630.8445383,398.1651422,282.5307428,415.8225584,534.1247229,243.6434261,246.4881956,189.5969356,246.6655301
2030-07-01,552.7010039,258.0267387,234.3258939,175.3703412,250.0209563,192.3786887,418.9926885,283.2063976,170.8282787,249.6172635,164.8603039,319.8299926,257.4623829,227.0446226
2030-08-01,265.1300051,408.4884523,148.7676872,174.0759884,347.6793493,284.456373,347.2255176,493.2674604,149.9362679,284.859034,157.2851654,233.7693882,271.3405166,198.4377133
2030-09-01,221.8020442,328.453956,172.4802388,279.1690121,338.2892448,377.1796897,350.4797738,428.0128365,167.1062349,250.0365219,194.1180674,395.4331573,309.7324635,216.3261059
2030-10-01,278.6916975,251.4863627,217.3303524,327.2978727,291.7244081,334.9777641,272.7577022,371.5625641,237.6506824,288.7901553,276.1501046,277.5576446,286.7725368,277.9712326
2030-11-01,413.9901018,370.536471,332.5843313,526.6831309,375.3750367,466.4271862,378.7365575,471.9373601,366.0873812,405.5133547,408.3477827,368.1889174,374.8648681,361.42482
2030-12-01,372.7156578,394.8439584,305.2649814,424.3571719,335.0444373,404.0894683,373.3949323,409.4077407,398.9862005,398.9998921,360.3020579,407.1969445,384.1517759,354.5449985
2031-01-01,371.1147226,398.5032034,222.0412948,408.4987301,312.0394898,392.0094218,326.0417048,409.076225,366.0905956,400.3088586,317.7002545,394.7298941,328.1004629,314.9613147
2031-02-01,329.5129469,325.5402326,190.1813473,417.1259166,281.5587828,325.4337989,297.7003712,331.6228107,326.6049466,327.8491675,299.2756432,318.2313829,299.1064742,288.3037796
2031-03-01,208.0508197,207.1463293,120.6503732,278.3506841,168.2196403,210.2279585,175.7274979,211.2495464,231.5329066,201.6629158,201.4668058,193.120612,176.4641379,176.2909743
2031-04-01,197.1830162,176.9129874,115.7135729,300.4881209,332.1331861,156.5802498,420.000018,155.7054088,167.6517628,157.9100687,256.2715378,545.6681097,470.1463508,319.6169152
2031-05-01,479.0601277,575.9470639,207.8670737,321.6683956,115.9068764,530.4003396,249.8024318,556.2983436,262.8929305,544.6565236,135.839235,320.9957978,168.5513269,170.9907277
2031-06-01,212.6930672,239.7501488,442.1885141,313.8431167,219.1783452,248.5791389,495.8572577,270.1471941,607.3347982,182.8190998,254.6648795,608.7492153,179.8065308,322.1954867
2031-07-01,283.6101419,187.9579148,168.6340054,276.2942939,165.2622021,264.712949,303.728171,285.6985206,257.0252374,281.4877722,145.2305796,258.5422646,255.5418428,179.4676059
2031-08-01,279.5363706,197.6299365,151.5406574,276.931434,150.6027885,366.7437088,255.2542849,341.6118369,215.6110727,206.6232707,197.5508622,206.9062436,200.289023,153.5273953
2031-09-01,379.1182529,181.9655409,159.1879877,215.3681313,260.112636,498.142015,250.9702146,445.7079168,221.6498135,337.2495112,198.3444534,214.9549785,203.2688408,190.9324388
2031-10-01,288.9512048,213.9061911,202.8933519,235.23484,277.4830063,373.1818744,367.039132,424.4082489,311.8376646,415.0793312,255.9038222,297.5511842,234.6836042,248.7537563
2031-11-01,376.6336833,361.5325271,279.7731419,311.4564313,423.7716631,416.6850992,435.5413412,532.6997561,395.3133238,521.5713363,371.4812295,409.1635828,373.9452184,400.049027
2031-12-01,391.4627733,365.5995748,194.6527379,290.1379344,410.8399058,399.9627882,445.4179862,494.8314557,378.0331807,510.5520632,335.2832962,341.996654,345.3366893,386.1975523
2032-01-01,350.4311224,343.76412,152.8777864,264.0044239,380.8966027,411.2589975,409.6424247,409.2885409,324.8392356,412.4981011,299.2588464,308.0422689,316.4419153,339.9065273
2032-02-01,325.3352023,312.8998352,135.0213602,232.7204178,342.7347748,417.875052,416.1945425,416.5294104,309.3824624,413.5864507,297.2376237,280.4939071,293.2885003,309.4065055
2032-03-01,210.921216,201.6974158,77.07143286,146.4693681,221.503012,239.4642315,252.8937798,277.23628,188.5182974,276.2699604,171.3623691,166.6945579,173.4274697,202.6618092
2032-04-01,251.9935296,164.8431134,82.45342529,100.9619998,208.0899523,306.7614684,190.8637925,235.7979669,168.2902926,249.1765832,127.5696364,425.7029761,303.8875729,144.3009498
2032-05-01,197.8253347,619.202876,199.1878871,132.5445564,156.1772295,300.4429421,287.6611031,327.4010896,513.963906,290.0393021,255.7639091,136.352895,137.23374,293.6853554
2032-06-01,429.6247319,366.6566783,290.4534599,338.1972078,264.44721,425.2931127,374.4667618,357.3298396,199.1513838,325.601363,258.5333182,267.7506351,284.4227382,154.2931297
2032-07-01,456.7535241,289.0760305,221.697177,327.2957036,428.9839624,445.6068098,331.6832442,384.2861725,158.4130319,378.3593474,212.3456167,198.3994903,169.6692591,265.5697524
